,0
86,자꾸 제 말이 늘 틀리대요
87,아 그리고 같이 찍은 사진을 인스타그램에 업로드를 안하면 잔뜩 삐져서는 저에 대해 안좋은 뒷얘기 할거같아서 저는 해달라는대로 다 해줘요
88,또 제 사소한 변화까지도 다 알려줘야하는데 말 안하면 삐져요
89,짓궃은장난도해요... 이건 말하기 부끄러워서 말 못하겠지만 친구라고 보기는 어려운
90,장난이에요...
91,저번에는 새벽까지 그 친구랑 있었다가 엄마한테 혼도 났어요
92,걔는 친구많고 활발한데 저는적잖아요
93,그런데도 제가 새친구사귀는거에 부정적이고 질투때문에 답답하고 스트레스받기도해요
94,또 제가 산거를 똑같이 사거나 제 제스쳐도 따라하기 시작했어요
95,"4살 때부터 엄격한 부모님 밑에서 무조건 눈치보고 양보(희생)했어요. 제 상태와 어떻게 해주시길 바라는지 온갖 방법으로 많은 부분에 대해 말씀드렸지만 엄마는 자신의 의도를 설명하며 제가 엄마를 받아주길원하고 달라지지않는 언행에 전 우울증,화병이에요 아빠는일하느라 힘들다고게임만, 소리지르고물건던진게2번요"
96,제 취향없이 친구들이나 남들따라 취향이정해지는게 너무 싫어요
97,점점 비판적인 태도를 잃어가고 사회적시선이나 여론에따라 사는제가 기회주의자같기도 하고 이런 저의 모습이 너무 마음에 들지 않습니다
98,연예인도 갑자기 친구에게 맞춰서 좋아하거나 제 즐거움을 포기하면서까지 친구에게 맞춰주게됩니다
99,"공황장애,불안장애로 새벽에 잠도 못자고 숨이 안쉬어지거나 미칠거같은 공포감때문에 학교생활이 두렵고 가시방석에 올라가있는 기분입니다."
100,사람들을 봐도 편하지가 않고 제가 발작할거같을때 자꾸 피하게되네요
101,살고싶은데 몸은 죽음쪽으로 다가가는거같아서 힘들어요
102,어릴때 한 8살부터 엄마에게 맞고나면 자ㅅ생각했고요
103,자ㅎ도 비슷한 나이에 시작했네요.. 성인인 지금도 그러는데 이거 병원가야 하나요?
104,예전에는 충동이 아니라 그냥 내가 죽으면 엄마가 슬퍼해줄까 정도의 생각이었는데 요새는 화나면 콱 죽어버리거나 집에 불지르고 싶고 자ㅎ해야만 겨우 자ㅅ충동을 참을 수 있어요
105,진짜순수하게 관심 받고 싶어서 자해하는데ㅋ근데 문제는 아무한테도 안 들키려고 무척 애써서 ㅋ 지금까지 자해한걸 한번도 들킨적이 없어요 부모님 앞에서는 필사적으로 가리고 친구들 앞에서는 뭐 걸치거나 손목 가리거나 허벅지에다가하거나 관심좀 받고 싶은데 그럼 들켜야 하는데 ㅋ그냥 저 스스로 벌주고 싶은걸까요
106,비참해요 인상이 비참해요 고작 돈이 뭐sjan라고 제 인생을 좌우하는지 모르겠어요 죽고 싶어요
108,저 자신이 너무 싫게 느껴집니다
109,요즘 들어 우울감도 커지고 살아있는 것이
110,의미가 없다고 느껴져요
111,"자살, 자해 충동 같은 것은 아니지만"
112,그냥 사라지고 싶다는 생각이 자꾸만 듭니다
113,그런 생각을 없애려 다른 것들도 시도해봤지만 부정적인 생각은 사라지질 않습니다
114,너무 우울해요
115,저는 초등학교 고학년입니다. 저는 원래 인싸였어요. 그런데 친구들이 많이 이사갔어요. 새로운 친구는 코로나 때문에 학교 못가니까 새로 못 사귀고 그렇게 악순환이 반복되면서 친구가 많이 없어졌어요. 요즘 너무 답답하고 재미없어요. 갑자기 아싸가 되버린것 같아요. 너무 속상해요.
116,전 어릴때 많이 맞고자랐어요
117,평소엔 회초리 심하면 따귀 귀 잡고 질질끌기 물건던지기 밀쳐서 눕히고 밟히기까지
118,어릴때는 이렇게 맞는건 내가 잘못해서 그런거라고 생각했어요
119,근데 얼마전에 엄마랑 옛날 얘기하니까 엄마가 한말
120,넌 참 순한아이였지
121,저는 무엇때문에 맞았어야 했던걸까요 순하면 말로 가르치면 될텐데
122,나도 죽고싶은 이유가 있었으면 좋겠다 내가 죽고싶다 하면 모두들 나에게 왜 죽고싶은건지 물어보고 내가 그냥 이라고 답하면 그럴리가 없다고 학업이나 친구문제 등 무조건 어떤 고민때문일거라고 한다 하지만 난 아무리 생각해봐도 구체적인 이유가 떠오르지 않는다 그냥 우울하니까 외로우니까 죽고싶은거다
123,이제 중1인 남자인데요.. 제가 다크서클도 많고 얼굴도 엄청 길고 엄청 마른편이기까지해서 못생겼어요.. 코도 눌려있고 근데 요즘 친구들이 외모얘기할때마다 힘이 너무 빠져요 제 엽사보면 이 얼굴로 어떻게 살아가야하나싶고 다른친구 엽사는 다 잘생겼던데 자괴감들어요
124,고1인 저는 우울증 때문에 정신과에 다니면서 우울증 약을 먹고 있습니다.약을 먹어서 전보다 무기력한 것도 극단적인 생각도 많이 줄었지만 지금 누가 조금이라도 속상하게 하면 죽고싶다 어떻게 죽을까 상상하게 되고 시도하고 싶다는 생각이 강하게 듭니다 곧 다가올 개학도 친구들과 만나는것도 너무 힘들고 두렵습니다
125,엄마는 머리카락 하나 가지고 오늘 아침에
126,일찍 나가라고 하면서 아침부터 뭐라 하고
127,맨날 이런식으로 잔소리 하는거 지겹고
128,지쳐요 어제도 혼나고 맨날 혼나는 일만
129,생기고 사람 조현병으로 몰아가요
130,저는 공허해요 
131,믿을 사람 없이 저 혼자 있는 것 같아요
132,주변에 사람은 많지만 혼자 남겨진 것 같고
133,아무도 모르는 곳에서 혼자 죽고 싶다고 생각해요
133,요즘 점점 무기력해지고 갑자기 눈물이 나기도 합니다. 
134,이제 아버지만 봐도 숨이 막히고 죽을 거 같아요."
135,나만 힘든거 아닌거 아는데 참고 사는게 왜이렇게 힘든걸까요
136,다들 제가 복받았다고 하지만 저는 왜 우울할까요
137,저에 대해 모르면서 편해보인다 하는 얘기들이 듣기 싫어요
141,요즘 sns하며 사이버 불링당하는 일이
142,잦아져 힘들고 리플리증후군이니
143,정신병자라는 소리도 듣고 우울한
144,생각을하면 손이 떨려 컵도못잡고 숨도 못쉬어요
145,몸에 멍을 만들게되고 사이버상에선
148,진짜 너무 살기가 싫어요
149,밤에 맨날 울고 정말 제 자신이 싫고 이 세상에서 사라졌으면 좋겠어요
155,중3 여자입니다. 제목과 같이 사소한것에 지나치게 스트레스를 받아서 고민이에요.
156,"정말 중학교 올라와서 지금까지 스트레스,고민없이 살아본적이 없어요."
157,"커다란 고민이 생겼다고 가정해도, 큰 스트레스가 해결되면 다시 사소한것에 스트레스를 받아요."
158,"요즘 받는 사소한 스트레스는,"
159,"저희 학원에 저랑 같은 고등학교를 희망하는 친구들이 몇몇있어서 그 친구들과 친해지고 싶은데,"
160,그 친구들은 저랑 학원에서 같이다니는 친구랑만 친해지고 싶어하는것 같아서 그거에만 하루종일 걱정하고...
161,이야기를 하다가 친구들 반응이 시원치않으면 내가 무슨 정떨어지게 말했나? 아니면 내가 못생겨서 친구하기싫은건가? 이러면서 깊게 고민해요.
162,제 고민들이 다 사소한것이라는건 알고있어요. 알고있는데 자꾸 신경쓰고 고민하다가 엄청 스트레스 받게되요.
163,하루종일 고민하게 되니깐 
164,이런 사소한것들에 지나치게 스트레스 너무 힘듭니다.
166,너무 힘들고 우울해서 갑자기 눈물이 쏟아질 때가 있는데
167,학교에서 시키는 과제를 제대로 하지도 않고 끊임없이 놀구요
168,그래서 교수님한테 혼도 나고 그거 때문에 힘들어 하는 제가 너무 병신 같습니다
169,하라고 한 걸 제대로 하지 않아놓고 혼이 났다고 힘들어하는 건 무슨 적반하장 심보인지 모르겠고요
170,지금도 과제가 산더미인데 하나도 하지 않고 놀고 있고 그런 제가 너무 병신 같고 또 갑자기 너무 힘들고 우울하고 눈물 한바탕 쏟고 왔구요
171,그냥 제가 너무 병신 같고 우울한 척 하는 거 같아서 짜증나고 세상 살기가 싫네요
172,어차피 저없어도 세상은 잘만 돌아가고 제가 어디 쓸모있는 인간도 아니고 왜 사는지도 모르겠고 제대로 하는 것도 없고 오히려 피해를 주면 더줬지 도움을 준 적도 없고 인성도 더럽고 암튼 제가 너무 짜증나고 그냥 다 짜증나고 제가 우울한 척하는 거 같아서 짜증납니다
173,이 글 보고 어쩌라고 그걸 왜 여기서 말하냐고 할 수도 있는데 모르겠습니다
174,공책이나 핸드폰 메모장에 혼자 적어놔도 되겠지만 그냥 누군가에게 제가 이렇다고 말하고 싶었어요
175,그냥 그렇구나 하고 지나가셔도 됩니다
176,제가 무슨 마음인진 모르겠는데 그냥 제가 쓴 글을 한 줄만 읽더라도 누가 봐줬으면 좋겠더라고요
177,그냥.. 모르겠습니다 그냥 의식의 흐름대로 적고 있어요
179,한명은 초딩때부터 같이다녔고 나머지 둘은 같은반이라 친해졌는데 내년에 다른반이 되면 연락을 잘 안할거같아요
180,친해지면 활발하지만 소심하고 낮가려서 친구사귀기도 힘들어요
181,페북보면 다른애들은 연락도 많이하고 전화도 하고 여러명씩 놀러다니는데
182,저는 그럴만한 친구가 없어서 고민이에요
183,그렇다고 친구가없는건 아니에요 연락도 가끔하고 만나면 인사하는 친구들은 있어요
184,나만 친구관계에 뒤쳐지는거같고 다른애들이 부러워서
185,밤마다 우울하고 생각이 많아져요 가끔 혼자 울때도있어요
186,약속이없어서 주말에 집에있을때는 하루종일 우울한 기분이들어서 잠만 자는거같아요
187,제가 참 바보같고 왜이렇게 살았나 싶어요
196,그냥 일어나서 공부하고 먹고 쉬고 씻고 자고를 반복하니깐 내가 기계같아
197,가만히 있다가도 울음이 터져나와
198,의지할 만한 친구도 없어
199,매일 쫓기듯 공부하고 집에 돌아오면 열시야
200,그래도 성적은 안 오르고
201,초등학생이라 나도 놀고 싶고 게임도 하고 싶은데
202,하루종일 누워서 자고싶은데
203,스트레스 풀 시간도 없어.
204,조용한 편이라 먼저 말 걸어주는 친구도 없어
205,한마디만.. 제발 너무 힘들고 우울해
206,이렇게 사는게 맞는걸까
207,이젠 위로를 받아봐도 고맙기만 하지. 달라지는게 없고 점점 자신감만 떨어지더라고
208,난 나름 열심히 사는 것 같은데
209,나아지는것 같지가 않아
212,또 요즘에는 잠을 적게 자는 것도 아닌데 쉽게 피로감을 느껴요 새벽 2~3시엔 꼭 한 번씩 깨구요..
213,그렇다고 또 하루종일 우울한 것도 아니에요 중간 중간에 행복하고 막 신나서 주체를 못할 때도 있구...
216,학생인데 제 미래에 대한 확신도 없고
217,제가 커서 뭐가될지도 모르겠고요
218,그렇다고 공부를 열심히 하는것도 아니고
219,인터넷에서만 제가 존재하는 것 같아요
220,잠도 아예 안자고 잔다고해도 낮에 자서 밤낮도 바꼈구요
221,제가 어른이 되는게 무서운데 그냥 스무살 되기 전에 죽으면 해결될까 싶기도 하네요
222,근데 죽는것도 무서워서 싫고
223,하루종일 누워서 폰만하다가 하루가 끝나요
224,가정사로 어머니랑만 살고 있는데요
225,엄마도 제가 하루종일 누워만있는거 아셔서
226,청소년 상담센터같은거 찾아보셨는데 예약이 다 꽉차있다고 하시네요
227,솔직히 상담 받고싶긴한데 귀찮은 마음이 더 커서 안될것같고요
228,잠깐이라도 이 무기력에서 탈출하는 방법 있나요?
230,평소에 연락하는 친구 하나 없으며 가족들과도 거리감을 두며 살아가고 있습니다.
231,미래를 비관적으로 보고 있기에
232,어떻게 죽어야 하나 하는 생각을 하루종일 하기도 합니다. 
232,"이런 마음이 들지 않았으면 해서, 저도 남들처럼 평범하게 살 수 있길 바래서 도움을 받고 싶습니다."
234,가족들에게는 알리지 않고 혼자 해결하고 싶은데 병원을 가서 상담을 받는다면 비용이 얼마정도 들까요? 
235,제가 정상인건지 아닌건지 모르겟어요
236,정말 너무 너무 죽고싶고
237,아니 죽으려고 까지 마음을 먹다가도
238,하루가 지나가고 지나가고
239,또 그러다 살고
240,편안히 죽는법도 검색해보고 이것저것 찾아보고
241,번개탄도 사놓고 술도 사고 수면제도 잇고
242,준비도 하고 유서도 쓰고 이러다가 또 하루가 가면 살고 잇어요
243,진짜 제가 죽는게 나을까 사는게 나을까 이런생각도 해보고
244,이정도로 시간이 지낫는데 안죽고 사는건지
245,매일 매일 시도때도 없이 눈물은 나고 죽고 싶다는 생각을
246,하루에 수십번씩 하고
247,근데 왜 오늘 내가 안죽는지 내일이 오는지
248,또 살아잇네 이생각
249,정말 그냥 내가 미쳐버린걸까요 ?
250,원래 죽고싶다가고 살고 또 죽고싶고 이렇게 반복되는게 정상인가요 ? 저는 정말 죽을수 있을까요 ?
251,진짜 내가 죽으면 남은 사람들은 ? 내가 벌려놓은건 ?
252,이렇게 고민하다 하루가 가고 가고 미치겟어요
253,정말 정말 죽고싶은데
254,죽기전에 남아잇는 사람 다른 사람들까지 생각을 해줘야만 맞는건가요 ?
255,16살이에요. 미술 입시를 하는 중이고요.
256,한 달 남았네요. 14살 여름방학 때부터 취미로 시작하다가
257,15살 가을 쯤 입시가 하고 싶어 입시 학원으로 왔어요
258,"제가 진짜 입시생이 될 줄 몰랐고, 입실 한 달 남길줄 몰랐는데"
259,벌써 그렇게 됐네요.
260,한 달 전부터 정신과 상담과 약물치료를 받고 있는데
261,"항불안제, 항우울제, 수면 유도제 먹으면서 상담 받고 있어요"
262,자해도 하고 있어요. 살아 있다는 기분보다는
263,"그냥 아플 때, 피가 날 때, 상처가 아무는 과정을 보는게"
264,재밌다고 해야하나. 아프진 않아요. 그냥 피가 날 정도로만
265,조금...조금 하니까.친구 관계 때문에 많이 힘들어요..
266,친했던 친구들 한데 은따 당하고 사이가 멀어졌는데 이제 어떡게 해야 하나
267,부모님 한데 말하면 걱정 하실 까봐 미안해서 말 못하겠어요
268,친구들 마저 저를 버려서 의지할 사람이 없어요.
268,살 가치도 없는거 같고 자존감도 많이 떨어지고 무기력 해지고.
269,잠도 안와서 자고 싶은데 못자고요.. 
270,죽고 싶을정도로 너무 힘들어요..
267,사실 집 밖을 나가고 싶지 않은데
268,학원 때문에 억지로 나가요. 아마 입시가 끝나면
269,나가지 않을거 같아요. 지긋지긋한 학원보다는
270,우울한 하루가 싫어요.
271,그렇다고 항상 우울하지만은 않아요.
272,"행복한 날도, 순간도 있어요."
273,"가족들이, 친구들이 슬퍼할까봐 죽기 무서워요"
274,"이제는 자해하는 칼도, 목에 두르고 조르는 허리띠도"
275,"높은 옥상도 아프지도, 무섭지도 않은데 그거 하나 무서워요"
276,"내가 사랑하는 사람들에게서 잊혀지는 것,"
277,더 이상 보지 못하는 것. 그거 때문에 못 죽겠어요
278,웃긴건 저도 미래를 생각한다는 거예요
279,대학에 가고 싶고 유학도 가고 싶은데
280,내일 죽고 싶어요.
281,모르겠네요. 저도 모르겠어요.
282,저를 힘들게 한 앤 제가 가해자래요.
283,서로가 서로한테 가해자인가 봐요.
284,그 애가 힘들다는 얘길 들었을 때 죄책감이 생겼으면서도
285,좋았어요. 너도 힘들어서 다행이다 이런 기분.
286,이제 잘 지낸다는 말을 들었을 땐 화가 났어요.
287,"제가 이기적이어서, 그래서 그런거겠죠."
288,제가 너무 나쁜거 같아요.
289,입시는 망했어요. 진짜로 망한거 아는데
290,마지막으로 열심히 해보자는 마음으로 하는 중이에여
291,하고 싶은 말이 많은데 지금은 이 정도만 생각나네요.
292,그냥 아예 아무도 제가 존재 했다는걸 모른다면
293,죽기 편할텐데
294,불안한 생각이 들어서 우울해져요
295,너무 스트레스 받아요
296,불안한 일
297,최악의 상황
298,스트레스 받으니까 잊고 싶은데
295,피해자인 저는 
296,너무 화나고 슬프고 서운하고 모든 감정이 다 뒤죽박죽이 돼요
297,이러려고 내가 사나
299,진짜 너무 속상해요 혹시 가해자
300,제발 저 좀 도와주세요
